Fecha;Item;Cajas
2021-01-08;OREO;1
2021-01-08;CHIPS;1
2021-01-08;SNACKS;1
2021-01-08;OREO;1
2021-01-08;CHIPS;1
2021-01-08;SNACKS;1
2021-01-11;OREO;1
2021-01-11;SNACKS;1
2021-01-11;CHIPS;1
2021-01-11;CHIPS;4
2021-01-11;SNACKS;2
2021-01-11;OREO;1
2021-01-11;OREO;1
2021-01-11;CHIPS;1
2021-01-12;SNACKS;0.25
2021-01-12;CHIPS;0.25
2021-01-12;OREO;1
2021-01-13;OREO;1
2021-01-13;CHIPS;1
2021-01-13;SNACKS;1
2021-01-13;OREO;0.5
2021-01-13;CHIPS;2
2021-01-13;OREO;1
2021-01-13;CHIPS;1
2021-01-13;SNACKS;1
2021-01-14;OREO;1
2021-01-14;SNACKS;1
2021-01-14;CHIPS;1
2021-01-14;CHIPS;1
2021-01-14;OREO;1
2021-01-14;CHIPS;0.5
2021-01-14;WAFFER;0.33
2021-01-14;SNACKS;0.5
2021-01-14;CHIPS;1
2021-01-14;OREO;1
2021-01-15;OREO;0.63
2021-01-18;SNACKS;1
2021-01-18;OREO;0.5
2021-01-19;OREO;1
2021-01-19;SNACKS;1
2021-01-19;OREO;0.5
2021-01-20;OREO;0.08
2021-01-20;CHIPS;0.33
2021-01-20;OREO;0.25
2021-01-20;WAFFER;0.5
2021-01-20;CHIPS;0.5
2021-01-20;SNACKS;0.25
2021-01-20;OREO;0.25
2021-01-20;WAFFER;0.5
2021-01-20;CHIPS;0.5
2021-01-20;OREO;2
2021-01-20;OREO;5
2021-01-20;WAFFER;5
2021-01-20;CHIPS;5
2021-01-20;SNACKS;0.25
2021-01-20;OREO;0.13
2021-01-21;CHIPS;1
2021-01-21;WAFFER;1
2021-01-21;OREO;1
2021-01-21;CHIPS;1
2021-01-21;OREO;0.08
2021-01-21;WAFFER;0.17
2021-01-21;CHIPS;0.17
2021-01-21;SNACKS;0.17
2021-01-25;OREO;3
2021-01-25;WAFFER;3
2021-01-25;OREO;0.08
2021-01-25;WAFFER;0.17
2021-01-25;CHIPS;0.17
2021-01-25;SNACKS;0.17
2021-01-26;OREO;1
2021-01-26;CHIPS;1
2021-01-26;CHIPS;0.42
2021-01-26;OREO;0.17
2021-01-26;WAFFER;0.42
2021-01-27;CHIPS;1
2021-01-27;WAFFER;1
2021-01-27;SNACKS;1
2021-01-27;OREO;1
2021-01-27;OREO;2
2021-01-27;CHIPS;2
2021-01-27;SNACKS;2
2021-01-27;WAFFER;2
2021-01-27;OREO;1
2021-01-27;CHIPS;1
2021-01-28;WAFFER;0.67
2021-01-28;OREO;0.13
2021-01-28;CHIPS;0.25
2021-01-28;WAFFER;0.25
2021-01-29;CHIPS;0.25
2021-01-29;SNACKS;0.08
2021-01-08;OREO;1
2021-01-08;CHIPS;1
2021-01-08;SNACKS;1
2021-01-20;OREO;0.5
